lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,no_of_week_nights,market_segment_type,no_of_weekend_nights,no_of_adults,room_type_reserved,booking_status
5.241747015059643,0.0,4.52124495105033,8,26,1.3862943611198906,4,1.0986122886681098,2,0,0
3.044522437723423,0.0,4.941642422609304,7,11,1.6094379124341003,4,0.6931471805599453,1,0,0
3.6109179126442243,1.0986122886681098,4.577798989191959,10,21,1.6094379124341003,4,0.0,2,0,1
4.356708826689592,0.6931471805599453,4.763028270603671,5,7,0.6931471805599453,4,0.0,2,0,1
3.4965075614664802,0.0,4.454347296253507,7,18,0.6931471805599453,3,0.6931471805599453,1,0,1
0.6931471805599453,0.0,0.0,8,14,1.0986122886681098,1,0.6931471805599453,2,1,1
3.58351893845611,0.6931471805599453,4.867534450455582,10,28,1.0986122886681098,4,0.6931471805599453,2,0,1
2.995732273553991,0.6931471805599453,5.0106352940962555,9,24,0.6931471805599453,4,0.0,2,0,0
3.6888794541139363,0.6931471805599453,4.589040804058207,11,15,1.791759469228055,4,1.0986122886681098,2,0,1
4.290459441148391,0.6931471805599453,4.951592753462473,5,1,0.6931471805599453,4,1.0986122886681098,2,2,0
3.6888794541139363,0.0,4.629862798578463,8,14,1.0986122886681098,3,0.0,2,0,1
3.6375861597263857,0.0,4.564348191467836,10,13,1.3862943611198906,3,0.0,1,0,1
4.060443010546419,0.0,4.630057901495871,9,21,1.0986122886681098,3,0.0,2,0,1
5.262690188904886,0.6931471805599453,4.5591262474866845,8,9,1.3862943611198906,4,0.0,2,0,0
4.343805421853684,0.6931471805599453,4.600157644164547,4,24,1.3862943611198906,3,1.0986122886681098,1,0,1
1.9459101490553132,0.0,4.498920386145381,3,22,1.791759469228055,4,0.0,2,0,1
3.713572066704308,0.0,4.681204872264089,9,4,1.791759469228055,4,1.0986122886681098,0,1,0
0.0,0.0,4.330733340286331,3,7,1.0986122886681098,3,0.6931471805599453,1,0,1
3.4339872044851463,0.6931471805599453,4.583946549536464,11,15,1.6094379124341003,4,0.0,2,2,0
5.159055299214529,0.0,4.808111029984782,8,15,0.6931471805599453,4,0.6931471805599453,2,0,0
5.030437921392435,0.6931471805599453,4.747537427275013,8,6,0.6931471805599453,4,0.0,2,0,0
0.0,0.0,4.382026634673881,2,6,0.6931471805599453,4,0.0,1,0,1
4.543294782270004,0.0,4.52124495105033,4,15,0.6931471805599453,4,0.0,2,0,1
2.772588722239781,0.0,4.189654742026425,2,2,0.6931471805599453,2,0.0,1,0,1
4.248495242049359,0.0,4.851248708584797,6,17,1.0986122886681098,4,0.6931471805599453,2,0,1
